SampleID,Isourolithin A ,Urolithin A ,Urolithin B ,Urolithin C,Urolithin D ,Urolithin E ,Urolithin M5 ,Urolithin M6 ,Urolithin M7,Stratification,Timepoint
1A,0,237.83,54.8,202.79,355.62,0,0,0,0,2,Before
1B,268.85,833.92,0,419.45,0,0,0,0,375.89,2,After
2A,66.48,0,0,0,135.69,0,0,86.82,0,1,Before
2B,167.4,383.14,7.61,0,0,0,0,26.04,0,1,After
4A,0,131.81,0,0,0,0,0,53.44,0,1,Before
4B,0,187.05,0,124.9,0,124.6,142.23,125.2,0,1,After
5A,0,368.31,0,195.65,0,0,0,0,317.76,1,Before
5B,145.54,435.41,0,195.65,0,0,0,0,198.05,1,After
6A,69.35,0,0,0,0,0,0,0,0,1,Before
6B,33.4,40.18,10.73,31.38,0,0,0,21.06,0,1,After
7A,163.54,0,0,0,338.75,159.9,0,90.33,0,2,Before
7B,215.02,703.59,0,0,87.01,0,0,0,0,2,After
8A,493.92,517.39,129.05,0,0,569.01,0,0,0,1,Before
8B,151.19,372.85,0,0,0,64.77,0,15.8,106.01,1,After
9A,167.57,214.13,41.61,0,0,0,452.7,81.3,0,3,Before
9B,6665.33,12970.26,0,0,315.54,0,622.89,0,0,3,After
11A,45.66,0,0,36.26,0,44.43,95.79,0,68.71,2,Before
11B,15067.16,4738.19,199.57,2277.29,0,0,0,0,77.64,2,After
12A,60.71,0,0,0,110.49,0,0,0,0,1,Before
12B,56.35,99.81,0,0,105.24,72.65,0,38.7,78.08,1,After
13A,0,156.8,0,0,256.67,135.17,142.49,17.49,0,2,Before
13B,2615.32,5955.28,38.84,508.52,0,0,180.1,85.46,0,2,After
14A,0,180.86,0,0,0,0,0,182.42,0,3,Before
14B,5095.89,13856.71,24.66,829.32,0,115.14,0,183.18,0,3,After
16A,57.95,84.54,0,0,0,64,0,0,0,2,Before
16B,501.76,1105.89,0,112.22,0,85.34,0,0,0,2,After
17A,0,0,0,0,199.63,0,0,0,0,1,Before
17B,0,0,0,0,0,0,96.19,0,0,1,After
18A,142.87,0,0,0,0,0,0,51.41,0,3,Before
18B,10988.02,30895.64,0,686.25,321.75,308.85,0,195.96,2510.73,3,After
20A,0,0,0,0,407.7,0,0,0,0,2,Before
20B,0,1068.13,0,0,1157.26,0,922.01,277.63,0,2,After
21A,382.06,0,97.57,0,0,0,517.01,102.12,0,3,Before
21B,89797.97,12646.77,18778.16,1497.51,0,836.02,1108.29,349.07,0,3,After
22A,166.25,0,0,0,0,0,0,0,0,2,Before
22B,547.53,798.42,0,0,0,0,0,25.09,389.62,2,After
23A,133.57,115.43,27.45,0,0,0,0,0,153.91,1,Before
23B,209.05,160.46,27.7,0,132.46,0,94.7,0,0,1,After
24A,90.25,0,0,0,0,0,97.22,0,0,1,Before
24B,0,0,0,0,222.38,0,127.55,109.4,0,1,After
27A,0,0,22.69,0,0,0,0,0,0,3,Before
27B,20006.16,7552.69,17997.97,420.52,0,163.18,150.09,0,0,3,After
29A,43.53,94.69,95.37,36.37,0,0,46.33,0,0,2,Before
29B,1089.07,2300.94,1721.52,0,0,0,,110.89,156.84,2,After
30A,143.56,57.68,13.02,28.52,89.32,0,53.06,0,0,2,Before
30B,34895.68,3066.48,20.87,1355.49,126.2,0,73.88,0,102.55,2,After
31A,51.22,64.31,0,0,0,0,75.62,0,0,2,Before
31B,1963.2,4577.56,0,207.85,0,179.86,0,0,0,2,After
32A,80.42,104.75,0,83.46,152.85,0,0,99.62,160.45,3,Before
32B,4180.1,9328.16,0,6205.74,119.36,0,78.29,166.14,126.72,3,After
33A,0,80.52,36.88,0,147.99,0,0,0,0,1,Before
33B,1171.87,353.76,2809.07,0,196.06,0,0,0,0,1,After
34A,0,0,38.09,0,0,40.88,81.44,0,101.07,1,Before
34B,84.25,0,0,0,153.82,0,0,0,0,1,After
36A,0,0,0,0,0,107.32,0,0,0,1,Before
36B,51.08,70.2,0,0,101.07,52.28,0,195.46,0,1,After
37A,0,0,0,107.74,0,0,0,89.12,0,3,Before
37B,2125.39,12910.64,0,473.99,0,79.97,0,0,289.73,3,After
38A,298.02,795.54,0,268.61,0,0,0,0,394.58,3,Before
38B,2280.15,13821.46,0,627.96,375.43,0,0,0,493.75,3,After
39A,948.61,260.4,42.44,0,0,0,0,0,0,3,Before
39B,90488.14,24658.02,2118.6,2339.44,0,0,173.01,240.45,2029.65,3,After
40A,74.75,135.91,0,0,160.38,0,0,0,0,3,Before
40B,12267.47,72739.48,0,912.74,0,0,191.45,0,840.46,3,After
41A,0,0,181.95,0,0,345.78,0,0,0,2,Before
41B,635.07,1179.96,247.68,671.9,1068.19,0,942.44,0,1318.4,2,After
42A,266.59,0,125.83,411.62,0,0,0,0,0,3,Before
42B,3327.31,20183.85,0,5928.78,0,0,310.57,0,3504.59,3,After
43A,0,0,0,227.79,0,0,0,263.3,0,3,Before
43B,2891.68,16311.26,0,698.13,0,197.92,0,0,439,3,After
44A,37.34,46.11,0,0,0,0,0,82.85,87.02,2,Before
44B,790,2556.95,0,683.01,1172.57,966.15,0,931.57,1002.89,2,After
45A,0,129.03,43.7,0,0,81.16,0,0,176.2,2,Before
45B,1104.83,5472.6,34.01,4588.27,0,91.25,0,0,3067.05,2,After
46A,0,93.85,0,0,0,0,0,62.45,162.19,2,Before
46B,679.49,4731.66,28.45,161.8,0,0,0,0,337.21,2,After
47A,72.53,0,60.68,105.56,192.64,0,0,0,139.5,1,Before
47B,37.65,65.82,13.56,48.95,72.93,37.21,0,0,102.09,1,After